group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,1023678.0,ns,14
AVLTree,,,,,1941741.0,ns,28
AVLTree,,,,,2912505.0,ns,42
AVLTree,,,,,3882998.0,ns,56
AVLTree,,,,,4910176.0,ns,70
AVLTree,,,,,5827912.0,ns,84
AVLTree,,,,,6912918.0,ns,98
AVLTree,,,,,7946515.0,ns,112
AVLTree,,,,,9242584.0,ns,126
AVLTree,,,,,9961666.0,ns,140
AVLTree,,,,,10997443.0,ns,154
AVLTree,,,,,11686856.0,ns,168
AVLTree,,,,,12822594.0,ns,182
AVLTree,,,,,13687793.0,ns,196
AVLTree,,,,,14578750.0,ns,210
AVLTree,,,,,15828026.0,ns,224
AVLTree,,,,,16773317.0,ns,238
AVLTree,,,,,18434370.0,ns,252
AVLTree,,,,,18695704.0,ns,266
AVLTree,,,,,19673874.0,ns,280
AVLTree,,,,,20501228.0,ns,294
AVLTree,,,,,21800627.0,ns,308
AVLTree,,,,,22509012.0,ns,322
AVLTree,,,,,23663687.0,ns,336
AVLTree,,,,,24389423.0,ns,350
AVLTree,,,,,25365953.0,ns,364
AVLTree,,,,,26787044.0,ns,378
AVLTree,,,,,28182668.0,ns,392
AVLTree,,,,,28915720.0,ns,406
AVLTree,,,,,29351625.0,ns,420
AVLTree,,,,,30303163.0,ns,434
AVLTree,,,,,31227703.0,ns,448
AVLTree,,,,,32120049.0,ns,462
AVLTree,,,,,33122000.0,ns,476
AVLTree,,,,,34363035.0,ns,490
AVLTree,,,,,35365009.0,ns,504
AVLTree,,,,,35984449.0,ns,518
AVLTree,,,,,36991080.0,ns,532
AVLTree,,,,,41217671.0,ns,546
AVLTree,,,,,39705802.0,ns,560
AVLTree,,,,,40146169.0,ns,574
AVLTree,,,,,41632670.0,ns,588
AVLTree,,,,,43226509.0,ns,602
AVLTree,,,,,43294533.0,ns,616
AVLTree,,,,,43925149.0,ns,630
AVLTree,,,,,45025594.0,ns,644
AVLTree,,,,,45695545.0,ns,658
AVLTree,,,,,47667715.0,ns,672
AVLTree,,,,,48856951.0,ns,686
AVLTree,,,,,49473828.0,ns,700
AVLTree,,,,,49670586.0,ns,714
AVLTree,,,,,50963033.0,ns,728
AVLTree,,,,,53102543.0,ns,742
AVLTree,,,,,53482671.0,ns,756
AVLTree,,,,,53712230.0,ns,770
AVLTree,,,,,54710691.0,ns,784
AVLTree,,,,,55557537.0,ns,798
AVLTree,,,,,56769564.0,ns,812
AVLTree,,,,,57424402.0,ns,826
AVLTree,,,,,58470448.0,ns,840
AVLTree,,,,,59576052.0,ns,854
AVLTree,,,,,61763025.0,ns,868
AVLTree,,,,,61895256.0,ns,882
AVLTree,,,,,63362339.0,ns,896
AVLTree,,,,,63865383.0,ns,910
AVLTree,,,,,65664035.0,ns,924
AVLTree,,,,,65717856.0,ns,938
AVLTree,,,,,66477634.0,ns,952
AVLTree,,,,,67269169.0,ns,966
AVLTree,,,,,70154572.0,ns,980
AVLTree,,,,,69565063.0,ns,994
AVLTree,,,,,70001876.0,ns,1008
AVLTree,,,,,71616715.0,ns,1022
AVLTree,,,,,72205872.0,ns,1036
AVLTree,,,,,73138988.0,ns,1050
AVLTree,,,,,73825270.0,ns,1064
AVLTree,,,,,76908112.0,ns,1078
AVLTree,,,,,76402399.0,ns,1092
AVLTree,,,,,89034061.0,ns,1106
AVLTree,,,,,83428721.0,ns,1120
AVLTree,,,,,80609445.0,ns,1134
AVLTree,,,,,80996839.0,ns,1148
AVLTree,,,,,82555943.0,ns,1162
AVLTree,,,,,82029482.0,ns,1176
AVLTree,,,,,82919873.0,ns,1190
AVLTree,,,,,83831423.0,ns,1204
AVLTree,,,,,84879100.0,ns,1218
AVLTree,,,,,85785606.0,ns,1232
AVLTree,,,,,88356116.0,ns,1246
AVLTree,,,,,88311471.0,ns,1260
AVLTree,,,,,88846981.0,ns,1274
AVLTree,,,,,91209420.0,ns,1288
AVLTree,,,,,90985148.0,ns,1302
AVLTree,,,,,93019146.0,ns,1316
AVLTree,,,,,94434797.0,ns,1330
AVLTree,,,,,93855578.0,ns,1344
AVLTree,,,,,95163248.0,ns,1358
AVLTree,,,,,95489481.0,ns,1372
AVLTree,,,,,96473428.0,ns,1386
AVLTree,,,,,99064515.0,ns,1400
