group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,1017029.0,ns,1
AVLTree,,,,,1923707.0,ns,2
AVLTree,,,,,2919058.0,ns,3
AVLTree,,,,,3994528.0,ns,4
AVLTree,,,,,4888116.0,ns,5
AVLTree,,,,,5889105.0,ns,6
AVLTree,,,,,6735569.0,ns,7
AVLTree,,,,,7893776.0,ns,8
AVLTree,,,,,9613941.0,ns,9
AVLTree,,,,,9933633.0,ns,10
AVLTree,,,,,11587112.0,ns,11
AVLTree,,,,,12170728.0,ns,12
AVLTree,,,,,12859465.0,ns,13
AVLTree,,,,,13623665.0,ns,14
AVLTree,,,,,16596159.0,ns,15
AVLTree,,,,,16523525.0,ns,16
AVLTree,,,,,17306263.0,ns,17
AVLTree,,,,,17467005.0,ns,18
AVLTree,,,,,18954570.0,ns,19
AVLTree,,,,,20589983.0,ns,20
AVLTree,,,,,20754150.0,ns,21
AVLTree,,,,,21618971.0,ns,22
AVLTree,,,,,23207668.0,ns,23
AVLTree,,,,,24810614.0,ns,24
AVLTree,,,,,24820159.0,ns,25
AVLTree,,,,,29379561.0,ns,26
AVLTree,,,,,30325887.0,ns,27
AVLTree,,,,,28447010.0,ns,28
AVLTree,,,,,28295458.0,ns,29
AVLTree,,,,,29199535.0,ns,30
AVLTree,,,,,30294462.0,ns,31
AVLTree,,,,,31173437.0,ns,32
AVLTree,,,,,33467639.0,ns,33
AVLTree,,,,,34592877.0,ns,34
AVLTree,,,,,34125532.0,ns,35
AVLTree,,,,,36067094.0,ns,36
AVLTree,,,,,36490187.0,ns,37
AVLTree,,,,,37246147.0,ns,38
AVLTree,,,,,38437599.0,ns,39
AVLTree,,,,,40540660.0,ns,40
AVLTree,,,,,40414676.0,ns,41
AVLTree,,,,,41593886.0,ns,42
AVLTree,,,,,41997540.0,ns,43
AVLTree,,,,,42638058.0,ns,44
AVLTree,,,,,45236304.0,ns,45
AVLTree,,,,,45268366.0,ns,46
AVLTree,,,,,45550885.0,ns,47
AVLTree,,,,,46612677.0,ns,48
AVLTree,,,,,48401253.0,ns,49
AVLTree,,,,,50044799.0,ns,50
AVLTree,,,,,51520228.0,ns,51
AVLTree,,,,,51059780.0,ns,52
AVLTree,,,,,52195214.0,ns,53
AVLTree,,,,,53459741.0,ns,54
AVLTree,,,,,54980565.0,ns,55
AVLTree,,,,,55966102.0,ns,56
AVLTree,,,,,55532245.0,ns,57
AVLTree,,,,,56361932.0,ns,58
AVLTree,,,,,58335004.0,ns,59
AVLTree,,,,,60450795.0,ns,60
AVLTree,,,,,60261964.0,ns,61
AVLTree,,,,,61972530.0,ns,62
AVLTree,,,,,61331880.0,ns,63
AVLTree,,,,,62584333.0,ns,64
AVLTree,,,,,62966091.0,ns,65
AVLTree,,,,,63923536.0,ns,66
AVLTree,,,,,65523590.0,ns,67
AVLTree,,,,,69321929.0,ns,68
AVLTree,,,,,67792344.0,ns,69
AVLTree,,,,,71561750.0,ns,70
AVLTree,,,,,92010232.0,ns,71
AVLTree,,,,,70272510.0,ns,72
AVLTree,,,,,70877224.0,ns,73
AVLTree,,,,,76696879.0,ns,74
AVLTree,,,,,75010261.0,ns,75
AVLTree,,,,,74416284.0,ns,76
AVLTree,,,,,78213901.0,ns,77
AVLTree,,,,,78279742.0,ns,78
AVLTree,,,,,76621061.0,ns,79
AVLTree,,,,,79445811.0,ns,80
AVLTree,,,,,80930336.0,ns,81
AVLTree,,,,,82890255.0,ns,82
AVLTree,,,,,81600160.0,ns,83
AVLTree,,,,,85830947.0,ns,84
AVLTree,,,,,82933805.0,ns,85
AVLTree,,,,,83241554.0,ns,86
AVLTree,,,,,86634743.0,ns,87
AVLTree,,,,,86491238.0,ns,88
AVLTree,,,,,87356412.0,ns,89
AVLTree,,,,,88752290.0,ns,90
AVLTree,,,,,88541000.0,ns,91
AVLTree,,,,,89400244.0,ns,92
AVLTree,,,,,95179247.0,ns,93
AVLTree,,,,,93644390.0,ns,94
AVLTree,,,,,95103760.0,ns,95
AVLTree,,,,,93547863.0,ns,96
AVLTree,,,,,94482951.0,ns,97
AVLTree,,,,,98462550.0,ns,98
AVLTree,,,,,98882984.0,ns,99
AVLTree,,,,,117659812.0,ns,100
