group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,5609882.0,ns,1
AVLTree,,,,,11131618.0,ns,2
AVLTree,,,,,16878885.0,ns,3
AVLTree,,,,,24181944.0,ns,4
AVLTree,,,,,28371886.0,ns,5
AVLTree,,,,,33414987.0,ns,6
AVLTree,,,,,39191216.0,ns,7
AVLTree,,,,,44782768.0,ns,8
AVLTree,,,,,50602084.0,ns,9
AVLTree,,,,,55518645.0,ns,10
AVLTree,,,,,62126287.0,ns,11
AVLTree,,,,,67100847.0,ns,12
AVLTree,,,,,72417388.0,ns,13
AVLTree,,,,,78923432.0,ns,14
AVLTree,,,,,84167541.0,ns,15
AVLTree,,,,,89294819.0,ns,16
AVLTree,,,,,94859940.0,ns,17
AVLTree,,,,,100115133.0,ns,18
AVLTree,,,,,105870694.0,ns,19
AVLTree,,,,,118350387.0,ns,20
AVLTree,,,,,117088867.0,ns,21
AVLTree,,,,,124035459.0,ns,22
AVLTree,,,,,128210710.0,ns,23
AVLTree,,,,,135214100.0,ns,24
AVLTree,,,,,139703344.0,ns,25
AVLTree,,,,,144750975.0,ns,26
AVLTree,,,,,151931212.0,ns,27
AVLTree,,,,,156388893.0,ns,28
AVLTree,,,,,165169022.0,ns,29
AVLTree,,,,,168163722.0,ns,30
AVLTree,,,,,173024508.0,ns,31
AVLTree,,,,,178238511.0,ns,32
AVLTree,,,,,185342499.0,ns,33
AVLTree,,,,,190667437.0,ns,34
AVLTree,,,,,195603609.0,ns,35
AVLTree,,,,,202092447.0,ns,36
AVLTree,,,,,206125984.0,ns,37
AVLTree,,,,,213553789.0,ns,38
AVLTree,,,,,218736054.0,ns,39
AVLTree,,,,,224112679.0,ns,40
AVLTree,,,,,229524822.0,ns,41
AVLTree,,,,,234220584.0,ns,42
AVLTree,,,,,241256585.0,ns,43
AVLTree,,,,,246869065.0,ns,44
AVLTree,,,,,252498303.0,ns,45
AVLTree,,,,,256406875.0,ns,46
AVLTree,,,,,263303634.0,ns,47
AVLTree,,,,,269403328.0,ns,48
AVLTree,,,,,274240671.0,ns,49
AVLTree,,,,,280062120.0,ns,50
AVLTree,,,,,285737989.0,ns,51
AVLTree,,,,,291646193.0,ns,52
AVLTree,,,,,295408614.0,ns,53
AVLTree,,,,,302857520.0,ns,54
AVLTree,,,,,309905186.0,ns,55
AVLTree,,,,,312332025.0,ns,56
AVLTree,,,,,318797261.0,ns,57
AVLTree,,,,,341338932.0,ns,58
AVLTree,,,,,335217541.0,ns,59
AVLTree,,,,,343501710.0,ns,60
AVLTree,,,,,345908148.0,ns,61
AVLTree,,,,,345643638.0,ns,62
AVLTree,,,,,352948996.0,ns,63
AVLTree,,,,,358582971.0,ns,64
AVLTree,,,,,362643917.0,ns,65
AVLTree,,,,,371050984.0,ns,66
AVLTree,,,,,375199730.0,ns,67
AVLTree,,,,,380013058.0,ns,68
AVLTree,,,,,386670443.0,ns,69
AVLTree,,,,,391653957.0,ns,70
AVLTree,,,,,399840271.0,ns,71
AVLTree,,,,,402896403.0,ns,72
AVLTree,,,,,429909276.0,ns,73
AVLTree,,,,,414993275.0,ns,74
AVLTree,,,,,418370101.0,ns,75
AVLTree,,,,,426117695.0,ns,76
AVLTree,,,,,430345678.0,ns,77
AVLTree,,,,,435502554.0,ns,78
AVLTree,,,,,442773638.0,ns,79
AVLTree,,,,,447408593.0,ns,80
AVLTree,,,,,453643730.0,ns,81
AVLTree,,,,,460999741.0,ns,82
AVLTree,,,,,464127685.0,ns,83
AVLTree,,,,,468792684.0,ns,84
AVLTree,,,,,526480228.0,ns,85
AVLTree,,,,,509431764.0,ns,86
AVLTree,,,,,487970895.0,ns,87
AVLTree,,,,,492190527.0,ns,88
AVLTree,,,,,499374394.0,ns,89
AVLTree,,,,,508783279.0,ns,90
AVLTree,,,,,511507952.0,ns,91
AVLTree,,,,,515720271.0,ns,92
AVLTree,,,,,520880828.0,ns,93
AVLTree,,,,,525649485.0,ns,94
AVLTree,,,,,531980271.0,ns,95
AVLTree,,,,,536798859.0,ns,96
AVLTree,,,,,546540127.0,ns,97
AVLTree,,,,,550711802.0,ns,98
AVLTree,,,,,554956855.0,ns,99
AVLTree,,,,,560671275.0,ns,100
