group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,1016381.0,ns,69
BinaryTree,,,,,1886261.0,ns,138
BinaryTree,,,,,2826475.0,ns,207
BinaryTree,,,,,3769334.0,ns,276
BinaryTree,,,,,4793274.0,ns,345
BinaryTree,,,,,5716742.0,ns,414
BinaryTree,,,,,6597011.0,ns,483
BinaryTree,,,,,7779643.0,ns,552
BinaryTree,,,,,8733897.0,ns,621
BinaryTree,,,,,10387549.0,ns,690
BinaryTree,,,,,10622384.0,ns,759
BinaryTree,,,,,11467100.0,ns,828
BinaryTree,,,,,12473149.0,ns,897
BinaryTree,,,,,13199401.0,ns,966
BinaryTree,,,,,14199687.0,ns,1035
BinaryTree,,,,,16257424.0,ns,1104
BinaryTree,,,,,17088127.0,ns,1173
BinaryTree,,,,,17162433.0,ns,1242
BinaryTree,,,,,18406716.0,ns,1311
BinaryTree,,,,,19045569.0,ns,1380
BinaryTree,,,,,19992959.0,ns,1449
BinaryTree,,,,,20976427.0,ns,1518
BinaryTree,,,,,21858651.0,ns,1587
BinaryTree,,,,,23043698.0,ns,1656
BinaryTree,,,,,23689725.0,ns,1725
BinaryTree,,,,,24599789.0,ns,1794
BinaryTree,,,,,25434330.0,ns,1863
BinaryTree,,,,,26761999.0,ns,1932
BinaryTree,,,,,28369818.0,ns,2001
BinaryTree,,,,,28493242.0,ns,2070
BinaryTree,,,,,29412113.0,ns,2139
BinaryTree,,,,,30412008.0,ns,2208
BinaryTree,,,,,31360297.0,ns,2277
BinaryTree,,,,,32119708.0,ns,2346
BinaryTree,,,,,33179085.0,ns,2415
BinaryTree,,,,,35645524.0,ns,2484
BinaryTree,,,,,35328986.0,ns,2553
BinaryTree,,,,,35973118.0,ns,2622
BinaryTree,,,,,37041474.0,ns,2691
BinaryTree,,,,,37893241.0,ns,2760
BinaryTree,,,,,39087853.0,ns,2829
BinaryTree,,,,,39774526.0,ns,2898
BinaryTree,,,,,40924966.0,ns,2967
BinaryTree,,,,,41650500.0,ns,3036
BinaryTree,,,,,42472963.0,ns,3105
BinaryTree,,,,,43532281.0,ns,3174
BinaryTree,,,,,44616910.0,ns,3243
BinaryTree,,,,,45603214.0,ns,3312
BinaryTree,,,,,47492946.0,ns,3381
BinaryTree,,,,,47375004.0,ns,3450
BinaryTree,,,,,48376040.0,ns,3519
BinaryTree,,,,,50058707.0,ns,3588
BinaryTree,,,,,50426209.0,ns,3657
BinaryTree,,,,,52574466.0,ns,3726
BinaryTree,,,,,52919912.0,ns,3795
BinaryTree,,,,,52962682.0,ns,3864
BinaryTree,,,,,54119831.0,ns,3933
BinaryTree,,,,,56307364.0,ns,4002
BinaryTree,,,,,56268317.0,ns,4071
BinaryTree,,,,,56915984.0,ns,4140
BinaryTree,,,,,58016674.0,ns,4209
BinaryTree,,,,,58923707.0,ns,4278
BinaryTree,,,,,59814529.0,ns,4347
BinaryTree,,,,,60501541.0,ns,4416
BinaryTree,,,,,61508679.0,ns,4485
BinaryTree,,,,,62488156.0,ns,4554
BinaryTree,,,,,64947558.0,ns,4623
BinaryTree,,,,,64378765.0,ns,4692
BinaryTree,,,,,65506742.0,ns,4761
BinaryTree,,,,,66380949.0,ns,4830
BinaryTree,,,,,68483684.0,ns,4899
BinaryTree,,,,,68779004.0,ns,4968
BinaryTree,,,,,72563226.0,ns,5037
BinaryTree,,,,,71580252.0,ns,5106
BinaryTree,,,,,71415412.0,ns,5175
BinaryTree,,,,,71977333.0,ns,5244
BinaryTree,,,,,72913164.0,ns,5313
BinaryTree,,,,,73974615.0,ns,5382
BinaryTree,,,,,74564127.0,ns,5451
BinaryTree,,,,,76497621.0,ns,5520
BinaryTree,,,,,78061359.0,ns,5589
BinaryTree,,,,,77814123.0,ns,5658
BinaryTree,,,,,78937847.0,ns,5727
BinaryTree,,,,,80542685.0,ns,5796
BinaryTree,,,,,80867531.0,ns,5865
BinaryTree,,,,,81597043.0,ns,5934
BinaryTree,,,,,85282893.0,ns,6003
BinaryTree,,,,,83531196.0,ns,6072
BinaryTree,,,,,84267486.0,ns,6141
BinaryTree,,,,,87723479.0,ns,6210
BinaryTree,,,,,87091932.0,ns,6279
BinaryTree,,,,,87415036.0,ns,6348
BinaryTree,,,,,89653788.0,ns,6417
BinaryTree,,,,,89357248.0,ns,6486
BinaryTree,,,,,89981312.0,ns,6555
BinaryTree,,,,,92094192.0,ns,6624
BinaryTree,,,,,93465186.0,ns,6693
BinaryTree,,,,,94200765.0,ns,6762
BinaryTree,,,,,94421820.0,ns,6831
BinaryTree,,,,,94548739.0,ns,6900
