group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,1264940.0,ns,2
BinaryTree,,,,,2499789.0,ns,4
BinaryTree,,,,,3548976.0,ns,6
BinaryTree,,,,,4661014.0,ns,8
BinaryTree,,,,,5852776.0,ns,10
BinaryTree,,,,,7140558.0,ns,12
BinaryTree,,,,,8397687.0,ns,14
BinaryTree,,,,,9597666.0,ns,16
BinaryTree,,,,,11427165.0,ns,18
BinaryTree,,,,,13168398.0,ns,20
BinaryTree,,,,,13042249.0,ns,22
BinaryTree,,,,,14222052.0,ns,24
BinaryTree,,,,,15350307.0,ns,26
BinaryTree,,,,,16973421.0,ns,28
BinaryTree,,,,,17871310.0,ns,30
BinaryTree,,,,,19008252.0,ns,32
BinaryTree,,,,,20843804.0,ns,34
BinaryTree,,,,,21693464.0,ns,36
BinaryTree,,,,,22563203.0,ns,38
BinaryTree,,,,,25097707.0,ns,40
BinaryTree,,,,,25145095.0,ns,42
BinaryTree,,,,,26348825.0,ns,44
BinaryTree,,,,,27927275.0,ns,46
BinaryTree,,,,,28158878.0,ns,48
BinaryTree,,,,,29172228.0,ns,50
BinaryTree,,,,,30437748.0,ns,52
BinaryTree,,,,,31988927.0,ns,54
BinaryTree,,,,,32847375.0,ns,56
BinaryTree,,,,,34218045.0,ns,58
BinaryTree,,,,,36119346.0,ns,60
BinaryTree,,,,,37397048.0,ns,62
BinaryTree,,,,,37658749.0,ns,64
BinaryTree,,,,,43287365.0,ns,66
BinaryTree,,,,,40886630.0,ns,68
BinaryTree,,,,,42852514.0,ns,70
BinaryTree,,,,,42838827.0,ns,72
BinaryTree,,,,,43791950.0,ns,74
BinaryTree,,,,,44612198.0,ns,76
BinaryTree,,,,,45720949.0,ns,78
BinaryTree,,,,,47726598.0,ns,80
BinaryTree,,,,,50137972.0,ns,82
BinaryTree,,,,,49683084.0,ns,84
BinaryTree,,,,,51959830.0,ns,86
BinaryTree,,,,,52844271.0,ns,88
BinaryTree,,,,,55594201.0,ns,90
BinaryTree,,,,,55224836.0,ns,92
BinaryTree,,,,,56215544.0,ns,94
BinaryTree,,,,,56882874.0,ns,96
BinaryTree,,,,,59534992.0,ns,98
BinaryTree,,,,,61265710.0,ns,100
BinaryTree,,,,,61003449.0,ns,102
BinaryTree,,,,,60925998.0,ns,104
BinaryTree,,,,,65623621.0,ns,106
BinaryTree,,,,,66027919.0,ns,108
BinaryTree,,,,,66497059.0,ns,110
BinaryTree,,,,,67218805.0,ns,112
BinaryTree,,,,,68384924.0,ns,114
BinaryTree,,,,,68695804.0,ns,116
BinaryTree,,,,,69401436.0,ns,118
BinaryTree,,,,,70463781.0,ns,120
BinaryTree,,,,,75882344.0,ns,122
BinaryTree,,,,,77577394.0,ns,124
BinaryTree,,,,,74999655.0,ns,126
BinaryTree,,,,,75616127.0,ns,128
BinaryTree,,,,,76383552.0,ns,130
BinaryTree,,,,,77187231.0,ns,132
BinaryTree,,,,,82197625.0,ns,134
BinaryTree,,,,,82070755.0,ns,136
BinaryTree,,,,,81109597.0,ns,138
BinaryTree,,,,,82498425.0,ns,140
BinaryTree,,,,,86377350.0,ns,142
BinaryTree,,,,,85478177.0,ns,144
BinaryTree,,,,,88027849.0,ns,146
BinaryTree,,,,,88746805.0,ns,148
BinaryTree,,,,,89366609.0,ns,150
BinaryTree,,,,,92051532.0,ns,152
BinaryTree,,,,,90825508.0,ns,154
BinaryTree,,,,,91373765.0,ns,156
BinaryTree,,,,,94768612.0,ns,158
BinaryTree,,,,,95834684.0,ns,160
BinaryTree,,,,,97190797.0,ns,162
BinaryTree,,,,,97277010.0,ns,164
BinaryTree,,,,,97179123.0,ns,166
BinaryTree,,,,,101062030.0,ns,168
BinaryTree,,,,,105730778.0,ns,170
BinaryTree,,,,,102079998.0,ns,172
BinaryTree,,,,,105975239.0,ns,174
BinaryTree,,,,,103290739.0,ns,176
BinaryTree,,,,,108242725.0,ns,178
BinaryTree,,,,,115807464.0,ns,180
BinaryTree,,,,,119120440.0,ns,182
BinaryTree,,,,,112357295.0,ns,184
BinaryTree,,,,,114834389.0,ns,186
BinaryTree,,,,,113615245.0,ns,188
BinaryTree,,,,,115068654.0,ns,190
BinaryTree,,,,,113600388.0,ns,192
BinaryTree,,,,,118861192.0,ns,194
BinaryTree,,,,,115873590.0,ns,196
BinaryTree,,,,,117817669.0,ns,198
BinaryTree,,,,,121271651.0,ns,200
