group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,2105594.0,ns,1
BinaryTree,,,,,3993807.0,ns,2
BinaryTree,,,,,5974433.0,ns,3
BinaryTree,,,,,8021841.0,ns,4
BinaryTree,,,,,10211906.0,ns,5
BinaryTree,,,,,12921266.0,ns,6
BinaryTree,,,,,15538261.0,ns,7
BinaryTree,,,,,16895655.0,ns,8
BinaryTree,,,,,18267647.0,ns,9
BinaryTree,,,,,20057934.0,ns,10
BinaryTree,,,,,22177556.0,ns,11
BinaryTree,,,,,24362740.0,ns,12
BinaryTree,,,,,26095899.0,ns,13
BinaryTree,,,,,28010828.0,ns,14
BinaryTree,,,,,31324327.0,ns,15
BinaryTree,,,,,32027806.0,ns,16
BinaryTree,,,,,34173880.0,ns,17
BinaryTree,,,,,36091622.0,ns,18
BinaryTree,,,,,37983979.0,ns,19
BinaryTree,,,,,42685555.0,ns,20
BinaryTree,,,,,42579731.0,ns,21
BinaryTree,,,,,45002406.0,ns,22
BinaryTree,,,,,46608828.0,ns,23
BinaryTree,,,,,48027319.0,ns,24
BinaryTree,,,,,50295150.0,ns,25
BinaryTree,,,,,52013641.0,ns,26
BinaryTree,,,,,54352483.0,ns,27
BinaryTree,,,,,56115803.0,ns,28
BinaryTree,,,,,59007468.0,ns,29
BinaryTree,,,,,60056771.0,ns,30
BinaryTree,,,,,63822692.0,ns,31
BinaryTree,,,,,64403607.0,ns,32
BinaryTree,,,,,66275053.0,ns,33
BinaryTree,,,,,68247685.0,ns,34
BinaryTree,,,,,71369264.0,ns,35
BinaryTree,,,,,72566842.0,ns,36
BinaryTree,,,,,74070601.0,ns,37
BinaryTree,,,,,77764253.0,ns,38
BinaryTree,,,,,78348739.0,ns,39
BinaryTree,,,,,80092655.0,ns,40
BinaryTree,,,,,82478403.0,ns,41
BinaryTree,,,,,84431948.0,ns,42
BinaryTree,,,,,86147142.0,ns,43
BinaryTree,,,,,89417844.0,ns,44
BinaryTree,,,,,90830745.0,ns,45
BinaryTree,,,,,92280996.0,ns,46
BinaryTree,,,,,95459521.0,ns,47
BinaryTree,,,,,96349679.0,ns,48
BinaryTree,,,,,99276026.0,ns,49
BinaryTree,,,,,101056025.0,ns,50
BinaryTree,,,,,102488812.0,ns,51
BinaryTree,,,,,104191620.0,ns,52
BinaryTree,,,,,106225606.0,ns,53
BinaryTree,,,,,109935769.0,ns,54
BinaryTree,,,,,110739343.0,ns,55
BinaryTree,,,,,112490771.0,ns,56
BinaryTree,,,,,115627617.0,ns,57
BinaryTree,,,,,116273369.0,ns,58
BinaryTree,,,,,129321618.0,ns,59
BinaryTree,,,,,120334525.0,ns,60
BinaryTree,,,,,122443058.0,ns,61
BinaryTree,,,,,124239284.0,ns,62
BinaryTree,,,,,136767115.0,ns,63
BinaryTree,,,,,128249507.0,ns,64
BinaryTree,,,,,132018278.0,ns,65
BinaryTree,,,,,133294881.0,ns,66
BinaryTree,,,,,135109516.0,ns,67
BinaryTree,,,,,141583860.0,ns,68
BinaryTree,,,,,138505499.0,ns,69
BinaryTree,,,,,144905243.0,ns,70
BinaryTree,,,,,148100771.0,ns,71
BinaryTree,,,,,145994357.0,ns,72
BinaryTree,,,,,147271905.0,ns,73
BinaryTree,,,,,149976376.0,ns,74
BinaryTree,,,,,150878451.0,ns,75
BinaryTree,,,,,152111548.0,ns,76
BinaryTree,,,,,156645926.0,ns,77
BinaryTree,,,,,157087015.0,ns,78
BinaryTree,,,,,158454549.0,ns,79
BinaryTree,,,,,161905262.0,ns,80
BinaryTree,,,,,167794924.0,ns,81
BinaryTree,,,,,164335560.0,ns,82
BinaryTree,,,,,173304233.0,ns,83
BinaryTree,,,,,169475254.0,ns,84
BinaryTree,,,,,170953100.0,ns,85
BinaryTree,,,,,174238946.0,ns,86
BinaryTree,,,,,174771242.0,ns,87
BinaryTree,,,,,176100461.0,ns,88
BinaryTree,,,,,179971636.0,ns,89
BinaryTree,,,,,213748028.0,ns,90
BinaryTree,,,,,189040582.0,ns,91
BinaryTree,,,,,192227079.0,ns,92
BinaryTree,,,,,194979567.0,ns,93
BinaryTree,,,,,267295990.0,ns,94
BinaryTree,,,,,200024450.0,ns,95
BinaryTree,,,,,198337596.0,ns,96
BinaryTree,,,,,195880370.0,ns,97
BinaryTree,,,,,221343794.0,ns,98
BinaryTree,,,,,209866801.0,ns,99
BinaryTree,,,,,208502626.0,ns,100
