group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,1037749.0,ns,139
RBTree,,,,,1931692.0,ns,278
RBTree,,,,,2955546.0,ns,417
RBTree,,,,,3883527.0,ns,556
RBTree,,,,,4832462.0,ns,695
RBTree,,,,,5856571.0,ns,834
RBTree,,,,,6794511.0,ns,973
RBTree,,,,,8034587.0,ns,1112
RBTree,,,,,9174393.0,ns,1251
RBTree,,,,,10582458.0,ns,1390
RBTree,,,,,10810018.0,ns,1529
RBTree,,,,,11935054.0,ns,1668
RBTree,,,,,12833174.0,ns,1807
RBTree,,,,,13633357.0,ns,1946
RBTree,,,,,14541600.0,ns,2085
RBTree,,,,,15591052.0,ns,2224
RBTree,,,,,16679959.0,ns,2363
RBTree,,,,,17548031.0,ns,2502
RBTree,,,,,18597427.0,ns,2641
RBTree,,,,,19708605.0,ns,2780
RBTree,,,,,20273216.0,ns,2919
RBTree,,,,,21539807.0,ns,3058
RBTree,,,,,23208689.0,ns,3197
RBTree,,,,,23896604.0,ns,3336
RBTree,,,,,25266874.0,ns,3475
RBTree,,,,,25778222.0,ns,3614
RBTree,,,,,26483063.0,ns,3753
RBTree,,,,,27286132.0,ns,3892
RBTree,,,,,28004736.0,ns,4031
RBTree,,,,,29452574.0,ns,4170
RBTree,,,,,30005372.0,ns,4309
RBTree,,,,,31243476.0,ns,4448
RBTree,,,,,32947830.0,ns,4587
RBTree,,,,,33487002.0,ns,4726
RBTree,,,,,34907036.0,ns,4865
RBTree,,,,,35863313.0,ns,5004
RBTree,,,,,36127095.0,ns,5143
RBTree,,,,,36808267.0,ns,5282
RBTree,,,,,37924828.0,ns,5421
RBTree,,,,,39231377.0,ns,5560
RBTree,,,,,40625678.0,ns,5699
RBTree,,,,,41445104.0,ns,5838
RBTree,,,,,41585561.0,ns,5977
RBTree,,,,,42544607.0,ns,6116
RBTree,,,,,43658364.0,ns,6255
RBTree,,,,,46078700.0,ns,6394
RBTree,,,,,46498336.0,ns,6533
RBTree,,,,,52554895.0,ns,6672
RBTree,,,,,53906691.0,ns,6811
RBTree,,,,,52318749.0,ns,6950
RBTree,,,,,54143717.0,ns,7089
RBTree,,,,,57829568.0,ns,7228
RBTree,,,,,54744855.0,ns,7367
RBTree,,,,,53986154.0,ns,7506
RBTree,,,,,54507190.0,ns,7645
RBTree,,,,,56439504.0,ns,7784
RBTree,,,,,55167939.0,ns,7923
RBTree,,,,,56040160.0,ns,8062
RBTree,,,,,57400287.0,ns,8201
RBTree,,,,,59041339.0,ns,8340
RBTree,,,,,59020442.0,ns,8479
RBTree,,,,,60027560.0,ns,8618
RBTree,,,,,60974110.0,ns,8757
RBTree,,,,,66035634.0,ns,8896
RBTree,,,,,64266997.0,ns,9035
RBTree,,,,,63693187.0,ns,9174
RBTree,,,,,64739252.0,ns,9313
RBTree,,,,,67548571.0,ns,9452
RBTree,,,,,67772781.0,ns,9591
RBTree,,,,,67874660.0,ns,9730
RBTree,,,,,69713970.0,ns,9869
RBTree,,,,,71789077.0,ns,10008
RBTree,,,,,70844990.0,ns,10147
RBTree,,,,,72465638.0,ns,10286
RBTree,,,,,72847197.0,ns,10425
RBTree,,,,,73962368.0,ns,10564
RBTree,,,,,74504549.0,ns,10703
RBTree,,,,,76553520.0,ns,10842
RBTree,,,,,78210357.0,ns,10981
RBTree,,,,,78282994.0,ns,11120
RBTree,,,,,78513237.0,ns,11259
RBTree,,,,,81913794.0,ns,11398
RBTree,,,,,113346605.0,ns,11537
RBTree,,,,,84295951.0,ns,11676
RBTree,,,,,84398162.0,ns,11815
RBTree,,,,,83436449.0,ns,11954
RBTree,,,,,84526720.0,ns,12093
RBTree,,,,,85292914.0,ns,12232
RBTree,,,,,86076180.0,ns,12371
RBTree,,,,,88603444.0,ns,12510
RBTree,,,,,88938655.0,ns,12649
RBTree,,,,,89168186.0,ns,12788
RBTree,,,,,92017648.0,ns,12927
RBTree,,,,,101025183.0,ns,13066
RBTree,,,,,93397745.0,ns,13205
RBTree,,,,,101685282.0,ns,13344
RBTree,,,,,93482230.0,ns,13483
RBTree,,,,,96772241.0,ns,13622
RBTree,,,,,96277612.0,ns,13761
RBTree,,,,,97595008.0,ns,13900
