group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,1163117.0,ns,30
RBTree,,,,,1970348.0,ns,60
RBTree,,,,,2930130.0,ns,90
RBTree,,,,,4033547.0,ns,120
RBTree,,,,,4947266.0,ns,150
RBTree,,,,,5961786.0,ns,180
RBTree,,,,,7198817.0,ns,210
RBTree,,,,,8435878.0,ns,240
RBTree,,,,,9758906.0,ns,270
RBTree,,,,,10639838.0,ns,300
RBTree,,,,,12083409.0,ns,330
RBTree,,,,,12219121.0,ns,360
RBTree,,,,,12870249.0,ns,390
RBTree,,,,,14654522.0,ns,420
RBTree,,,,,14820544.0,ns,450
RBTree,,,,,16012734.0,ns,480
RBTree,,,,,16963811.0,ns,510
RBTree,,,,,18612555.0,ns,540
RBTree,,,,,19956533.0,ns,570
RBTree,,,,,19631848.0,ns,600
RBTree,,,,,20648786.0,ns,630
RBTree,,,,,21778650.0,ns,660
RBTree,,,,,22843572.0,ns,690
RBTree,,,,,23492462.0,ns,720
RBTree,,,,,24267516.0,ns,750
RBTree,,,,,25379775.0,ns,780
RBTree,,,,,27689202.0,ns,810
RBTree,,,,,27426931.0,ns,840
RBTree,,,,,28820025.0,ns,870
RBTree,,,,,29629498.0,ns,900
RBTree,,,,,31032111.0,ns,930
RBTree,,,,,31691511.0,ns,960
RBTree,,,,,33192367.0,ns,990
RBTree,,,,,33849533.0,ns,1020
RBTree,,,,,40506881.0,ns,1050
RBTree,,,,,39762380.0,ns,1080
RBTree,,,,,39192517.0,ns,1110
RBTree,,,,,37188116.0,ns,1140
RBTree,,,,,38815521.0,ns,1170
RBTree,,,,,39726099.0,ns,1200
RBTree,,,,,42273936.0,ns,1230
RBTree,,,,,41240062.0,ns,1260
RBTree,,,,,42789817.0,ns,1290
RBTree,,,,,46335756.0,ns,1320
RBTree,,,,,46039682.0,ns,1350
RBTree,,,,,46042662.0,ns,1380
RBTree,,,,,70184459.0,ns,1410
RBTree,,,,,51508600.0,ns,1440
RBTree,,,,,55568144.0,ns,1470
RBTree,,,,,53629040.0,ns,1500
RBTree,,,,,51404341.0,ns,1530
RBTree,,,,,51215993.0,ns,1560
RBTree,,,,,51705540.0,ns,1590
RBTree,,,,,55301631.0,ns,1620
RBTree,,,,,55783726.0,ns,1650
RBTree,,,,,57623125.0,ns,1680
RBTree,,,,,56872831.0,ns,1710
RBTree,,,,,58906842.0,ns,1740
RBTree,,,,,57982300.0,ns,1770
RBTree,,,,,59567740.0,ns,1800
RBTree,,,,,59498546.0,ns,1830
RBTree,,,,,71815963.0,ns,1860
RBTree,,,,,74506627.0,ns,1890
RBTree,,,,,88684276.0,ns,1920
RBTree,,,,,71812410.0,ns,1950
RBTree,,,,,71188733.0,ns,1980
RBTree,,,,,67012766.0,ns,2010
RBTree,,,,,67451801.0,ns,2040
RBTree,,,,,67967356.0,ns,2070
RBTree,,,,,71385441.0,ns,2100
RBTree,,,,,72223724.0,ns,2130
RBTree,,,,,72100034.0,ns,2160
RBTree,,,,,72747668.0,ns,2190
RBTree,,,,,74111339.0,ns,2220
RBTree,,,,,74273062.0,ns,2250
RBTree,,,,,76496737.0,ns,2280
RBTree,,,,,77852306.0,ns,2310
RBTree,,,,,79261210.0,ns,2340
RBTree,,,,,77163316.0,ns,2370
RBTree,,,,,81265829.0,ns,2400
RBTree,,,,,80880872.0,ns,2430
RBTree,,,,,80989933.0,ns,2460
RBTree,,,,,81651024.0,ns,2490
RBTree,,,,,85327767.0,ns,2520
RBTree,,,,,86217550.0,ns,2550
RBTree,,,,,85705873.0,ns,2580
RBTree,,,,,85438385.0,ns,2610
RBTree,,,,,86707303.0,ns,2640
RBTree,,,,,89472632.0,ns,2670
RBTree,,,,,93800248.0,ns,2700
RBTree,,,,,92786158.0,ns,2730
RBTree,,,,,91957372.0,ns,2760
RBTree,,,,,92178560.0,ns,2790
RBTree,,,,,92914690.0,ns,2820
RBTree,,,,,96783271.0,ns,2850
RBTree,,,,,103539366.0,ns,2880
RBTree,,,,,102541006.0,ns,2910
RBTree,,,,,96718688.0,ns,2940
RBTree,,,,,99229038.0,ns,2970
RBTree,,,,,100047871.0,ns,3000
