group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,1167157.0,ns,7
RBTree,,,,,2224030.0,ns,14
RBTree,,,,,3240864.0,ns,21
RBTree,,,,,4461773.0,ns,28
RBTree,,,,,5324361.0,ns,35
RBTree,,,,,6358831.0,ns,42
RBTree,,,,,7471646.0,ns,49
RBTree,,,,,9439006.0,ns,56
RBTree,,,,,9780115.0,ns,63
RBTree,,,,,11625042.0,ns,70
RBTree,,,,,12433877.0,ns,77
RBTree,,,,,13788548.0,ns,84
RBTree,,,,,15071718.0,ns,91
RBTree,,,,,15605863.0,ns,98
RBTree,,,,,16319218.0,ns,105
RBTree,,,,,17609568.0,ns,112
RBTree,,,,,17963414.0,ns,119
RBTree,,,,,19099742.0,ns,126
RBTree,,,,,20228680.0,ns,133
RBTree,,,,,21207439.0,ns,140
RBTree,,,,,22315011.0,ns,147
RBTree,,,,,23288889.0,ns,154
RBTree,,,,,24173084.0,ns,161
RBTree,,,,,25650072.0,ns,168
RBTree,,,,,28333845.0,ns,175
RBTree,,,,,28982947.0,ns,182
RBTree,,,,,34351867.0,ns,189
RBTree,,,,,38831169.0,ns,196
RBTree,,,,,36287155.0,ns,203
RBTree,,,,,36526321.0,ns,210
RBTree,,,,,39836919.0,ns,217
RBTree,,,,,40190967.0,ns,224
RBTree,,,,,39295556.0,ns,231
RBTree,,,,,39776846.0,ns,238
RBTree,,,,,42221907.0,ns,245
RBTree,,,,,44933878.0,ns,252
RBTree,,,,,42860501.0,ns,259
RBTree,,,,,44968602.0,ns,266
RBTree,,,,,49589321.0,ns,273
RBTree,,,,,51192827.0,ns,280
RBTree,,,,,53388484.0,ns,287
RBTree,,,,,51196482.0,ns,294
RBTree,,,,,52393105.0,ns,301
RBTree,,,,,57649748.0,ns,308
RBTree,,,,,54311154.0,ns,315
RBTree,,,,,56019620.0,ns,322
RBTree,,,,,57339191.0,ns,329
RBTree,,,,,57036430.0,ns,336
RBTree,,,,,56962078.0,ns,343
RBTree,,,,,54387404.0,ns,350
RBTree,,,,,55005100.0,ns,357
RBTree,,,,,54354203.0,ns,364
RBTree,,,,,55921736.0,ns,371
RBTree,,,,,56389954.0,ns,378
RBTree,,,,,57687261.0,ns,385
RBTree,,,,,60458402.0,ns,392
RBTree,,,,,61625912.0,ns,399
RBTree,,,,,63489024.0,ns,406
RBTree,,,,,67989064.0,ns,413
RBTree,,,,,67262678.0,ns,420
RBTree,,,,,68653180.0,ns,427
RBTree,,,,,69426142.0,ns,434
RBTree,,,,,70243745.0,ns,441
RBTree,,,,,69172910.0,ns,448
RBTree,,,,,68979993.0,ns,455
RBTree,,,,,71463687.0,ns,462
RBTree,,,,,73037262.0,ns,469
RBTree,,,,,73102184.0,ns,476
RBTree,,,,,74910564.0,ns,483
RBTree,,,,,74328848.0,ns,490
RBTree,,,,,76674923.0,ns,497
RBTree,,,,,77752044.0,ns,504
RBTree,,,,,78549124.0,ns,511
RBTree,,,,,80083040.0,ns,518
RBTree,,,,,80446168.0,ns,525
RBTree,,,,,81254865.0,ns,532
RBTree,,,,,82554028.0,ns,539
RBTree,,,,,83725869.0,ns,546
RBTree,,,,,86054644.0,ns,553
RBTree,,,,,86484069.0,ns,560
RBTree,,,,,85840558.0,ns,567
RBTree,,,,,86727204.0,ns,574
RBTree,,,,,91365094.0,ns,581
RBTree,,,,,90354195.0,ns,588
RBTree,,,,,90762713.0,ns,595
RBTree,,,,,94613108.0,ns,602
RBTree,,,,,92979191.0,ns,609
RBTree,,,,,95040564.0,ns,616
RBTree,,,,,93958767.0,ns,623
RBTree,,,,,94875165.0,ns,630
RBTree,,,,,97941293.0,ns,637
RBTree,,,,,99265480.0,ns,644
RBTree,,,,,98557957.0,ns,651
RBTree,,,,,112874851.0,ns,658
RBTree,,,,,108729053.0,ns,665
RBTree,,,,,109326801.0,ns,672
RBTree,,,,,105336495.0,ns,679
RBTree,,,,,108577423.0,ns,686
RBTree,,,,,106763055.0,ns,693
RBTree,,,,,107438194.0,ns,700
