group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,7191900.0,ns,1
AVLTree,,,,,14285300.0,ns,2
AVLTree,,,,,21881200.0,ns,3
AVLTree,,,,,26062700.0,ns,4
AVLTree,,,,,33865300.0,ns,5
AVLTree,,,,,42498200.0,ns,6
AVLTree,,,,,48166300.0,ns,7
AVLTree,,,,,56669700.0,ns,8
AVLTree,,,,,60765000.0,ns,9
AVLTree,,,,,67745700.0,ns,10
AVLTree,,,,,74192000.0,ns,11
AVLTree,,,,,87535000.0,ns,12
AVLTree,,,,,89213600.0,ns,13
AVLTree,,,,,97108100.0,ns,14
AVLTree,,,,,102427200.0,ns,15
AVLTree,,,,,108807400.0,ns,16
AVLTree,,,,,116237000.0,ns,17
AVLTree,,,,,122621700.0,ns,18
AVLTree,,,,,128458800.0,ns,19
AVLTree,,,,,137180700.0,ns,20
AVLTree,,,,,145673700.0,ns,21
AVLTree,,,,,155663800.0,ns,22
AVLTree,,,,,155986300.0,ns,23
AVLTree,,,,,163159800.0,ns,24
AVLTree,,,,,197828000.0,ns,25
AVLTree,,,,,175702900.0,ns,26
AVLTree,,,,,183895900.0,ns,27
AVLTree,,,,,204001600.0,ns,28
AVLTree,,,,,199465800.0,ns,29
AVLTree,,,,,202897200.0,ns,30
AVLTree,,,,,208195500.0,ns,31
AVLTree,,,,,226278300.0,ns,32
AVLTree,,,,,224548700.0,ns,33
AVLTree,,,,,230049000.0,ns,34
AVLTree,,,,,238945400.0,ns,35
AVLTree,,,,,242113100.0,ns,36
AVLTree,,,,,258622400.0,ns,37
AVLTree,,,,,272026200.0,ns,38
AVLTree,,,,,269053900.0,ns,39
AVLTree,,,,,289848100.0,ns,40
AVLTree,,,,,280472100.0,ns,41
AVLTree,,,,,286316400.0,ns,42
AVLTree,,,,,293975300.0,ns,43
AVLTree,,,,,310294700.0,ns,44
AVLTree,,,,,304100500.0,ns,45
AVLTree,,,,,326128100.0,ns,46
AVLTree,,,,,323433300.0,ns,47
AVLTree,,,,,324829300.0,ns,48
AVLTree,,,,,332440600.0,ns,49
AVLTree,,,,,345036000.0,ns,50
AVLTree,,,,,346403800.0,ns,51
AVLTree,,,,,393743000.0,ns,52
AVLTree,,,,,370663400.0,ns,53
AVLTree,,,,,368116200.0,ns,54
AVLTree,,,,,380031600.0,ns,55
AVLTree,,,,,380833200.0,ns,56
AVLTree,,,,,389242100.0,ns,57
AVLTree,,,,,400255200.0,ns,58
AVLTree,,,,,417439100.0,ns,59
AVLTree,,,,,408832900.0,ns,60
AVLTree,,,,,418425400.0,ns,61
AVLTree,,,,,439620900.0,ns,62
AVLTree,,,,,442907700.0,ns,63
AVLTree,,,,,431856000.0,ns,64
AVLTree,,,,,466677500.0,ns,65
AVLTree,,,,,476362000.0,ns,66
AVLTree,,,,,460834300.0,ns,67
AVLTree,,,,,482633300.0,ns,68
AVLTree,,,,,475071600.0,ns,69
AVLTree,,,,,493973000.0,ns,70
AVLTree,,,,,489106200.0,ns,71
AVLTree,,,,,495158800.0,ns,72
AVLTree,,,,,502481300.0,ns,73
AVLTree,,,,,578344100.0,ns,74
AVLTree,,,,,524311000.0,ns,75
AVLTree,,,,,538883000.0,ns,76
AVLTree,,,,,846765200.0,ns,77
AVLTree,,,,,537653800.0,ns,78
AVLTree,,,,,557426200.0,ns,79
AVLTree,,,,,554055200.0,ns,80
AVLTree,,,,,559193100.0,ns,81
AVLTree,,,,,588204000.0,ns,82
AVLTree,,,,,574580300.0,ns,83
AVLTree,,,,,592524600.0,ns,84
AVLTree,,,,,586718800.0,ns,85
AVLTree,,,,,625587300.0,ns,86
AVLTree,,,,,597548200.0,ns,87
AVLTree,,,,,615595000.0,ns,88
AVLTree,,,,,604637900.0,ns,89
AVLTree,,,,,626052800.0,ns,90
AVLTree,,,,,669459200.0,ns,91
AVLTree,,,,,632029500.0,ns,92
AVLTree,,,,,638280100.0,ns,93
AVLTree,,,,,641585900.0,ns,94
AVLTree,,,,,647139600.0,ns,95
AVLTree,,,,,683141000.0,ns,96
AVLTree,,,,,672801600.0,ns,97
AVLTree,,,,,668739900.0,ns,98
AVLTree,,,,,690307700.0,ns,99
AVLTree,,,,,698428300.0,ns,100
