group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,1857500.0,ns,1
AVLTree,,,,,3831300.0,ns,2
AVLTree,,,,,3710400.0,ns,3
AVLTree,,,,,4655900.0,ns,4
AVLTree,,,,,8351200.0,ns,5
AVLTree,,,,,8582000.0,ns,6
AVLTree,,,,,9150300.0,ns,7
AVLTree,,,,,8841300.0,ns,8
AVLTree,,,,,12225400.0,ns,9
AVLTree,,,,,15398800.0,ns,10
AVLTree,,,,,14436800.0,ns,11
AVLTree,,,,,15248500.0,ns,12
AVLTree,,,,,16747200.0,ns,13
AVLTree,,,,,18506900.0,ns,14
AVLTree,,,,,18884700.0,ns,15
AVLTree,,,,,34577700.0,ns,16
AVLTree,,,,,21887200.0,ns,17
AVLTree,,,,,24130100.0,ns,18
AVLTree,,,,,23539500.0,ns,19
AVLTree,,,,,25948800.0,ns,20
AVLTree,,,,,25863000.0,ns,21
AVLTree,,,,,28892800.0,ns,22
AVLTree,,,,,35759600.0,ns,23
AVLTree,,,,,29361700.0,ns,24
AVLTree,,,,,31312300.0,ns,25
AVLTree,,,,,32424000.0,ns,26
AVLTree,,,,,34059400.0,ns,27
AVLTree,,,,,35326000.0,ns,28
AVLTree,,,,,37166400.0,ns,29
AVLTree,,,,,40406200.0,ns,30
AVLTree,,,,,39021100.0,ns,31
AVLTree,,,,,40360000.0,ns,32
AVLTree,,,,,42533300.0,ns,33
AVLTree,,,,,43070700.0,ns,34
AVLTree,,,,,43056200.0,ns,35
AVLTree,,,,,45011300.0,ns,36
AVLTree,,,,,50429400.0,ns,37
AVLTree,,,,,52902100.0,ns,38
AVLTree,,,,,59936800.0,ns,39
AVLTree,,,,,58270200.0,ns,40
AVLTree,,,,,51689700.0,ns,41
AVLTree,,,,,54419100.0,ns,42
AVLTree,,,,,59466600.0,ns,43
AVLTree,,,,,55997600.0,ns,44
AVLTree,,,,,60720100.0,ns,45
AVLTree,,,,,58142500.0,ns,46
AVLTree,,,,,58247200.0,ns,47
AVLTree,,,,,60566800.0,ns,48
AVLTree,,,,,64401700.0,ns,49
AVLTree,,,,,62132600.0,ns,50
AVLTree,,,,,65959200.0,ns,51
AVLTree,,,,,66392800.0,ns,52
AVLTree,,,,,66185000.0,ns,53
AVLTree,,,,,67333800.0,ns,54
AVLTree,,,,,74699400.0,ns,55
AVLTree,,,,,72551000.0,ns,56
AVLTree,,,,,73041600.0,ns,57
AVLTree,,,,,72077700.0,ns,58
AVLTree,,,,,79977400.0,ns,59
AVLTree,,,,,74683800.0,ns,60
AVLTree,,,,,79453700.0,ns,61
AVLTree,,,,,77931800.0,ns,62
AVLTree,,,,,81947700.0,ns,63
AVLTree,,,,,79441300.0,ns,64
AVLTree,,,,,85545300.0,ns,65
AVLTree,,,,,83529300.0,ns,66
AVLTree,,,,,88187400.0,ns,67
AVLTree,,,,,92807700.0,ns,68
AVLTree,,,,,92578900.0,ns,69
AVLTree,,,,,87576200.0,ns,70
AVLTree,,,,,95299100.0,ns,71
AVLTree,,,,,90980000.0,ns,72
AVLTree,,,,,94144000.0,ns,73
AVLTree,,,,,95105800.0,ns,74
AVLTree,,,,,94246500.0,ns,75
AVLTree,,,,,96283400.0,ns,76
AVLTree,,,,,108166200.0,ns,77
AVLTree,,,,,102101100.0,ns,78
AVLTree,,,,,121629200.0,ns,79
AVLTree,,,,,100515500.0,ns,80
AVLTree,,,,,101963200.0,ns,81
AVLTree,,,,,103696200.0,ns,82
AVLTree,,,,,103234900.0,ns,83
AVLTree,,,,,107909000.0,ns,84
AVLTree,,,,,105241900.0,ns,85
AVLTree,,,,,109227400.0,ns,86
AVLTree,,,,,115775400.0,ns,87
AVLTree,,,,,113964400.0,ns,88
AVLTree,,,,,111082300.0,ns,89
AVLTree,,,,,113221700.0,ns,90
AVLTree,,,,,119577100.0,ns,91
AVLTree,,,,,116483200.0,ns,92
AVLTree,,,,,118948700.0,ns,93
AVLTree,,,,,117094500.0,ns,94
AVLTree,,,,,122503200.0,ns,95
AVLTree,,,,,130236400.0,ns,96
AVLTree,,,,,123673600.0,ns,97
AVLTree,,,,,121641000.0,ns,98
AVLTree,,,,,129092900.0,ns,99
AVLTree,,,,,126287800.0,ns,100
