group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AVLTree,,,,,4229000.0,ns,1
AVLTree,,,,,6606500.0,ns,2
AVLTree,,,,,12476300.0,ns,3
AVLTree,,,,,14892400.0,ns,4
AVLTree,,,,,19119900.0,ns,5
AVLTree,,,,,21146900.0,ns,6
AVLTree,,,,,33521200.0,ns,7
AVLTree,,,,,29414300.0,ns,8
AVLTree,,,,,36778100.0,ns,9
AVLTree,,,,,53277900.0,ns,10
AVLTree,,,,,44026200.0,ns,11
AVLTree,,,,,67103400.0,ns,12
AVLTree,,,,,55420500.0,ns,13
AVLTree,,,,,76908200.0,ns,14
AVLTree,,,,,57600900.0,ns,15
AVLTree,,,,,63482700.0,ns,16
AVLTree,,,,,63900900.0,ns,17
AVLTree,,,,,67193300.0,ns,18
AVLTree,,,,,70753100.0,ns,19
AVLTree,,,,,80748800.0,ns,20
AVLTree,,,,,90228000.0,ns,21
AVLTree,,,,,92899400.0,ns,22
AVLTree,,,,,95923700.0,ns,23
AVLTree,,,,,98553800.0,ns,24
AVLTree,,,,,100013000.0,ns,25
AVLTree,,,,,100710300.0,ns,26
AVLTree,,,,,106690000.0,ns,27
AVLTree,,,,,109915500.0,ns,28
AVLTree,,,,,115062600.0,ns,29
AVLTree,,,,,115988400.0,ns,30
AVLTree,,,,,135676400.0,ns,31
AVLTree,,,,,123029300.0,ns,32
AVLTree,,,,,129903800.0,ns,33
AVLTree,,,,,130435300.0,ns,34
AVLTree,,,,,130445800.0,ns,35
AVLTree,,,,,136213100.0,ns,36
AVLTree,,,,,138931300.0,ns,37
AVLTree,,,,,142717500.0,ns,38
AVLTree,,,,,150823600.0,ns,39
AVLTree,,,,,195508600.0,ns,40
AVLTree,,,,,186823000.0,ns,41
AVLTree,,,,,177947400.0,ns,42
AVLTree,,,,,198115800.0,ns,43
AVLTree,,,,,161093700.0,ns,44
AVLTree,,,,,182218900.0,ns,45
AVLTree,,,,,173898300.0,ns,46
AVLTree,,,,,172172200.0,ns,47
AVLTree,,,,,181701900.0,ns,48
AVLTree,,,,,186877000.0,ns,49
AVLTree,,,,,185453400.0,ns,50
AVLTree,,,,,226110600.0,ns,51
AVLTree,,,,,207156200.0,ns,52
AVLTree,,,,,200324700.0,ns,53
AVLTree,,,,,205359600.0,ns,54
AVLTree,,,,,207551000.0,ns,55
AVLTree,,,,,225848300.0,ns,56
AVLTree,,,,,220722600.0,ns,57
AVLTree,,,,,232769000.0,ns,58
AVLTree,,,,,218402200.0,ns,59
AVLTree,,,,,250058100.0,ns,60
AVLTree,,,,,234909600.0,ns,61
AVLTree,,,,,229152600.0,ns,62
AVLTree,,,,,240834500.0,ns,63
AVLTree,,,,,249578000.0,ns,64
AVLTree,,,,,247428200.0,ns,65
AVLTree,,,,,241743500.0,ns,66
AVLTree,,,,,259976400.0,ns,67
AVLTree,,,,,264718700.0,ns,68
AVLTree,,,,,269667600.0,ns,69
AVLTree,,,,,258460100.0,ns,70
AVLTree,,,,,269776500.0,ns,71
AVLTree,,,,,282762600.0,ns,72
AVLTree,,,,,291022800.0,ns,73
AVLTree,,,,,280302500.0,ns,74
AVLTree,,,,,292750900.0,ns,75
AVLTree,,,,,287249400.0,ns,76
AVLTree,,,,,285220100.0,ns,77
AVLTree,,,,,302071500.0,ns,78
AVLTree,,,,,308825000.0,ns,79
AVLTree,,,,,301492800.0,ns,80
AVLTree,,,,,307248000.0,ns,81
AVLTree,,,,,315633700.0,ns,82
AVLTree,,,,,353873400.0,ns,83
AVLTree,,,,,320644100.0,ns,84
AVLTree,,,,,325901600.0,ns,85
AVLTree,,,,,326400200.0,ns,86
AVLTree,,,,,329646100.0,ns,87
AVLTree,,,,,345111400.0,ns,88
AVLTree,,,,,355632700.0,ns,89
AVLTree,,,,,337662300.0,ns,90
AVLTree,,,,,348710700.0,ns,91
AVLTree,,,,,359286900.0,ns,92
AVLTree,,,,,347482400.0,ns,93
AVLTree,,,,,364181500.0,ns,94
AVLTree,,,,,411199300.0,ns,95
AVLTree,,,,,368482200.0,ns,96
AVLTree,,,,,362985300.0,ns,97
AVLTree,,,,,393180400.0,ns,98
AVLTree,,,,,389769100.0,ns,99
AVLTree,,,,,379144300.0,ns,100
