group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,7644300.0,ns,1
BinaryTree,,,,,7863600.0,ns,2
BinaryTree,,,,,12149700.0,ns,3
BinaryTree,,,,,15362400.0,ns,4
BinaryTree,,,,,22527700.0,ns,5
BinaryTree,,,,,29411000.0,ns,6
BinaryTree,,,,,45103700.0,ns,7
BinaryTree,,,,,35649300.0,ns,8
BinaryTree,,,,,36960500.0,ns,9
BinaryTree,,,,,43139600.0,ns,10
BinaryTree,,,,,49793900.0,ns,11
BinaryTree,,,,,56146900.0,ns,12
BinaryTree,,,,,60016000.0,ns,13
BinaryTree,,,,,60233600.0,ns,14
BinaryTree,,,,,81600200.0,ns,15
BinaryTree,,,,,62017100.0,ns,16
BinaryTree,,,,,64024400.0,ns,17
BinaryTree,,,,,71202900.0,ns,18
BinaryTree,,,,,84014300.0,ns,19
BinaryTree,,,,,76250200.0,ns,20
BinaryTree,,,,,78984600.0,ns,21
BinaryTree,,,,,96761400.0,ns,22
BinaryTree,,,,,88793000.0,ns,23
BinaryTree,,,,,88845800.0,ns,24
BinaryTree,,,,,98135300.0,ns,25
BinaryTree,,,,,101311100.0,ns,26
BinaryTree,,,,,104626700.0,ns,27
BinaryTree,,,,,109889500.0,ns,28
BinaryTree,,,,,111585200.0,ns,29
BinaryTree,,,,,125615600.0,ns,30
BinaryTree,,,,,119449700.0,ns,31
BinaryTree,,,,,129144500.0,ns,32
BinaryTree,,,,,130122400.0,ns,33
BinaryTree,,,,,141414300.0,ns,34
BinaryTree,,,,,133385100.0,ns,35
BinaryTree,,,,,145517500.0,ns,36
BinaryTree,,,,,142310900.0,ns,37
BinaryTree,,,,,148205000.0,ns,38
BinaryTree,,,,,153456900.0,ns,39
BinaryTree,,,,,152805800.0,ns,40
BinaryTree,,,,,152042200.0,ns,41
BinaryTree,,,,,154522100.0,ns,42
BinaryTree,,,,,161032000.0,ns,43
BinaryTree,,,,,165266700.0,ns,44
BinaryTree,,,,,174292200.0,ns,45
BinaryTree,,,,,179547800.0,ns,46
BinaryTree,,,,,205969100.0,ns,47
BinaryTree,,,,,211349800.0,ns,48
BinaryTree,,,,,194348900.0,ns,49
BinaryTree,,,,,193810800.0,ns,50
BinaryTree,,,,,195526400.0,ns,51
BinaryTree,,,,,198319400.0,ns,52
BinaryTree,,,,,219004000.0,ns,53
BinaryTree,,,,,209423700.0,ns,54
BinaryTree,,,,,222310100.0,ns,55
BinaryTree,,,,,219689400.0,ns,56
BinaryTree,,,,,216444700.0,ns,57
BinaryTree,,,,,225390600.0,ns,58
BinaryTree,,,,,235414800.0,ns,59
BinaryTree,,,,,239652900.0,ns,60
BinaryTree,,,,,251789200.0,ns,61
BinaryTree,,,,,229303000.0,ns,62
BinaryTree,,,,,235697400.0,ns,63
BinaryTree,,,,,240185600.0,ns,64
BinaryTree,,,,,239912000.0,ns,65
BinaryTree,,,,,233424500.0,ns,66
BinaryTree,,,,,259480100.0,ns,67
BinaryTree,,,,,258310500.0,ns,68
BinaryTree,,,,,266032800.0,ns,69
BinaryTree,,,,,282138100.0,ns,70
BinaryTree,,,,,255785700.0,ns,71
BinaryTree,,,,,275029400.0,ns,72
BinaryTree,,,,,268412100.0,ns,73
BinaryTree,,,,,274263500.0,ns,74
BinaryTree,,,,,286729200.0,ns,75
BinaryTree,,,,,293661300.0,ns,76
BinaryTree,,,,,298693100.0,ns,77
BinaryTree,,,,,301448100.0,ns,78
BinaryTree,,,,,338186100.0,ns,79
BinaryTree,,,,,303361200.0,ns,80
BinaryTree,,,,,310469200.0,ns,81
BinaryTree,,,,,342814300.0,ns,82
BinaryTree,,,,,339692800.0,ns,83
BinaryTree,,,,,332988500.0,ns,84
BinaryTree,,,,,324714800.0,ns,85
BinaryTree,,,,,356243600.0,ns,86
BinaryTree,,,,,334822100.0,ns,87
BinaryTree,,,,,394202300.0,ns,88
BinaryTree,,,,,347347400.0,ns,89
BinaryTree,,,,,341239000.0,ns,90
BinaryTree,,,,,338003500.0,ns,91
BinaryTree,,,,,336343200.0,ns,92
BinaryTree,,,,,351528700.0,ns,93
BinaryTree,,,,,361649900.0,ns,94
BinaryTree,,,,,516537700.0,ns,95
BinaryTree,,,,,359422100.0,ns,96
BinaryTree,,,,,359357000.0,ns,97
BinaryTree,,,,,371828900.0,ns,98
BinaryTree,,,,,351988600.0,ns,99
BinaryTree,,,,,365522100.0,ns,100
