group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,3713600.0,ns,1
BinaryTree,,,,,6710300.0,ns,2
BinaryTree,,,,,10961600.0,ns,3
BinaryTree,,,,,15163700.0,ns,4
BinaryTree,,,,,17612600.0,ns,5
BinaryTree,,,,,21001500.0,ns,6
BinaryTree,,,,,25187100.0,ns,7
BinaryTree,,,,,26765000.0,ns,8
BinaryTree,,,,,31943200.0,ns,9
BinaryTree,,,,,37033800.0,ns,10
BinaryTree,,,,,39853000.0,ns,11
BinaryTree,,,,,41914100.0,ns,12
BinaryTree,,,,,46257300.0,ns,13
BinaryTree,,,,,51812400.0,ns,14
BinaryTree,,,,,51976300.0,ns,15
BinaryTree,,,,,58999000.0,ns,16
BinaryTree,,,,,62257400.0,ns,17
BinaryTree,,,,,64587200.0,ns,18
BinaryTree,,,,,67586700.0,ns,19
BinaryTree,,,,,70522100.0,ns,20
BinaryTree,,,,,73328300.0,ns,21
BinaryTree,,,,,94059200.0,ns,22
BinaryTree,,,,,82065400.0,ns,23
BinaryTree,,,,,86392700.0,ns,24
BinaryTree,,,,,87984300.0,ns,25
BinaryTree,,,,,97351000.0,ns,26
BinaryTree,,,,,94952600.0,ns,27
BinaryTree,,,,,102798500.0,ns,28
BinaryTree,,,,,109642700.0,ns,29
BinaryTree,,,,,109042100.0,ns,30
BinaryTree,,,,,110470700.0,ns,31
BinaryTree,,,,,112134600.0,ns,32
BinaryTree,,,,,117678000.0,ns,33
BinaryTree,,,,,124045500.0,ns,34
BinaryTree,,,,,128232200.0,ns,35
BinaryTree,,,,,128602900.0,ns,36
BinaryTree,,,,,135526200.0,ns,37
BinaryTree,,,,,139812100.0,ns,38
BinaryTree,,,,,142209900.0,ns,39
BinaryTree,,,,,141623600.0,ns,40
BinaryTree,,,,,142768900.0,ns,41
BinaryTree,,,,,153889100.0,ns,42
BinaryTree,,,,,156322500.0,ns,43
BinaryTree,,,,,165374800.0,ns,44
BinaryTree,,,,,165320100.0,ns,45
BinaryTree,,,,,165741800.0,ns,46
BinaryTree,,,,,188182700.0,ns,47
BinaryTree,,,,,174573000.0,ns,48
BinaryTree,,,,,172361900.0,ns,49
BinaryTree,,,,,184719700.0,ns,50
BinaryTree,,,,,185389900.0,ns,51
BinaryTree,,,,,184121400.0,ns,52
BinaryTree,,,,,192106900.0,ns,53
BinaryTree,,,,,195484600.0,ns,54
BinaryTree,,,,,203580100.0,ns,55
BinaryTree,,,,,204682100.0,ns,56
BinaryTree,,,,,220592200.0,ns,57
BinaryTree,,,,,210442000.0,ns,58
BinaryTree,,,,,208346200.0,ns,59
BinaryTree,,,,,223888800.0,ns,60
BinaryTree,,,,,219766500.0,ns,61
BinaryTree,,,,,240801400.0,ns,62
BinaryTree,,,,,224675400.0,ns,63
BinaryTree,,,,,236404600.0,ns,64
BinaryTree,,,,,235666800.0,ns,65
BinaryTree,,,,,239656000.0,ns,66
BinaryTree,,,,,238459400.0,ns,67
BinaryTree,,,,,245962900.0,ns,68
BinaryTree,,,,,252766600.0,ns,69
BinaryTree,,,,,252444100.0,ns,70
BinaryTree,,,,,269761600.0,ns,71
BinaryTree,,,,,264686900.0,ns,72
BinaryTree,,,,,266107000.0,ns,73
BinaryTree,,,,,263476300.0,ns,74
BinaryTree,,,,,267258800.0,ns,75
BinaryTree,,,,,279481400.0,ns,76
BinaryTree,,,,,291917000.0,ns,77
BinaryTree,,,,,284935600.0,ns,78
BinaryTree,,,,,284709200.0,ns,79
BinaryTree,,,,,314265000.0,ns,80
BinaryTree,,,,,288162100.0,ns,81
BinaryTree,,,,,292884100.0,ns,82
BinaryTree,,,,,307916100.0,ns,83
BinaryTree,,,,,304972200.0,ns,84
BinaryTree,,,,,303043900.0,ns,85
BinaryTree,,,,,308010300.0,ns,86
BinaryTree,,,,,324923200.0,ns,87
BinaryTree,,,,,332357100.0,ns,88
BinaryTree,,,,,318564300.0,ns,89
BinaryTree,,,,,327159500.0,ns,90
BinaryTree,,,,,323307000.0,ns,91
BinaryTree,,,,,336416400.0,ns,92
BinaryTree,,,,,348250300.0,ns,93
BinaryTree,,,,,337498000.0,ns,94
BinaryTree,,,,,358462200.0,ns,95
BinaryTree,,,,,349359700.0,ns,96
BinaryTree,,,,,357988200.0,ns,97
BinaryTree,,,,,359497000.0,ns,98
BinaryTree,,,,,363412200.0,ns,99
BinaryTree,,,,,357597000.0,ns,100
