group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
BinaryTree,,,,,7599200.0,ns,1
BinaryTree,,,,,12370400.0,ns,2
BinaryTree,,,,,18162100.0,ns,3
BinaryTree,,,,,25374800.0,ns,4
BinaryTree,,,,,28680600.0,ns,5
BinaryTree,,,,,35510600.0,ns,6
BinaryTree,,,,,48577600.0,ns,7
BinaryTree,,,,,55994800.0,ns,8
BinaryTree,,,,,59211300.0,ns,9
BinaryTree,,,,,63446700.0,ns,10
BinaryTree,,,,,65025500.0,ns,11
BinaryTree,,,,,76587400.0,ns,12
BinaryTree,,,,,76857100.0,ns,13
BinaryTree,,,,,84361500.0,ns,14
BinaryTree,,,,,91157300.0,ns,15
BinaryTree,,,,,95322000.0,ns,16
BinaryTree,,,,,102194500.0,ns,17
BinaryTree,,,,,105624500.0,ns,18
BinaryTree,,,,,112667300.0,ns,19
BinaryTree,,,,,118450500.0,ns,20
BinaryTree,,,,,127311400.0,ns,21
BinaryTree,,,,,131288400.0,ns,22
BinaryTree,,,,,139757700.0,ns,23
BinaryTree,,,,,142051100.0,ns,24
BinaryTree,,,,,151818800.0,ns,25
BinaryTree,,,,,175820000.0,ns,26
BinaryTree,,,,,159182700.0,ns,27
BinaryTree,,,,,170800100.0,ns,28
BinaryTree,,,,,174025800.0,ns,29
BinaryTree,,,,,179112000.0,ns,30
BinaryTree,,,,,185231400.0,ns,31
BinaryTree,,,,,202481900.0,ns,32
BinaryTree,,,,,222675400.0,ns,33
BinaryTree,,,,,201085900.0,ns,34
BinaryTree,,,,,213050500.0,ns,35
BinaryTree,,,,,212943100.0,ns,36
BinaryTree,,,,,218155400.0,ns,37
BinaryTree,,,,,228576300.0,ns,38
BinaryTree,,,,,234691100.0,ns,39
BinaryTree,,,,,235380200.0,ns,40
BinaryTree,,,,,242038700.0,ns,41
BinaryTree,,,,,252231700.0,ns,42
BinaryTree,,,,,270633700.0,ns,43
BinaryTree,,,,,266177800.0,ns,44
BinaryTree,,,,,266463700.0,ns,45
BinaryTree,,,,,288882700.0,ns,46
BinaryTree,,,,,288486200.0,ns,47
BinaryTree,,,,,324587600.0,ns,48
BinaryTree,,,,,313477200.0,ns,49
BinaryTree,,,,,333765400.0,ns,50
BinaryTree,,,,,317671100.0,ns,51
BinaryTree,,,,,455443400.0,ns,52
BinaryTree,,,,,335853400.0,ns,53
BinaryTree,,,,,324420600.0,ns,54
BinaryTree,,,,,335693700.0,ns,55
BinaryTree,,,,,339053300.0,ns,56
BinaryTree,,,,,365473300.0,ns,57
BinaryTree,,,,,357593800.0,ns,58
BinaryTree,,,,,354407100.0,ns,59
BinaryTree,,,,,356598300.0,ns,60
BinaryTree,,,,,372750600.0,ns,61
BinaryTree,,,,,387735700.0,ns,62
BinaryTree,,,,,384194500.0,ns,63
BinaryTree,,,,,395963100.0,ns,64
BinaryTree,,,,,384946500.0,ns,65
BinaryTree,,,,,411061800.0,ns,66
BinaryTree,,,,,403349800.0,ns,67
BinaryTree,,,,,405727400.0,ns,68
BinaryTree,,,,,422883800.0,ns,69
BinaryTree,,,,,463100600.0,ns,70
BinaryTree,,,,,431422400.0,ns,71
BinaryTree,,,,,425846300.0,ns,72
BinaryTree,,,,,440609300.0,ns,73
BinaryTree,,,,,459005200.0,ns,74
BinaryTree,,,,,450345200.0,ns,75
BinaryTree,,,,,464439700.0,ns,76
BinaryTree,,,,,469846600.0,ns,77
BinaryTree,,,,,500124600.0,ns,78
BinaryTree,,,,,494891800.0,ns,79
BinaryTree,,,,,487821800.0,ns,80
BinaryTree,,,,,514642800.0,ns,81
BinaryTree,,,,,498282500.0,ns,82
BinaryTree,,,,,496610800.0,ns,83
BinaryTree,,,,,509043000.0,ns,84
BinaryTree,,,,,523864300.0,ns,85
BinaryTree,,,,,530732400.0,ns,86
BinaryTree,,,,,527601600.0,ns,87
BinaryTree,,,,,547789100.0,ns,88
BinaryTree,,,,,568833300.0,ns,89
BinaryTree,,,,,542733400.0,ns,90
BinaryTree,,,,,556369900.0,ns,91
BinaryTree,,,,,553947400.0,ns,92
BinaryTree,,,,,558529000.0,ns,93
BinaryTree,,,,,578803100.0,ns,94
BinaryTree,,,,,569917700.0,ns,95
BinaryTree,,,,,578921300.0,ns,96
BinaryTree,,,,,601548900.0,ns,97
BinaryTree,,,,,599673300.0,ns,98
BinaryTree,,,,,619230700.0,ns,99
BinaryTree,,,,,600431700.0,ns,100
