group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,975200.0,ns,5
RBTree,,,,,1689400.0,ns,10
RBTree,,,,,2521300.0,ns,15
RBTree,,,,,3394100.0,ns,20
RBTree,,,,,7153500.0,ns,25
RBTree,,,,,5120200.0,ns,30
RBTree,,,,,6964700.0,ns,35
RBTree,,,,,7461400.0,ns,40
RBTree,,,,,7485500.0,ns,45
RBTree,,,,,10983700.0,ns,50
RBTree,,,,,11274500.0,ns,55
RBTree,,,,,9864300.0,ns,60
RBTree,,,,,13127100.0,ns,65
RBTree,,,,,13233300.0,ns,70
RBTree,,,,,14827300.0,ns,75
RBTree,,,,,15544000.0,ns,80
RBTree,,,,,19254400.0,ns,85
RBTree,,,,,21189200.0,ns,90
RBTree,,,,,20352600.0,ns,95
RBTree,,,,,19488800.0,ns,100
RBTree,,,,,21937800.0,ns,105
RBTree,,,,,21862000.0,ns,110
RBTree,,,,,21421000.0,ns,115
RBTree,,,,,24864400.0,ns,120
RBTree,,,,,24260600.0,ns,125
RBTree,,,,,25923200.0,ns,130
RBTree,,,,,28941800.0,ns,135
RBTree,,,,,26468900.0,ns,140
RBTree,,,,,28972500.0,ns,145
RBTree,,,,,33576600.0,ns,150
RBTree,,,,,31554300.0,ns,155
RBTree,,,,,31684800.0,ns,160
RBTree,,,,,34523200.0,ns,165
RBTree,,,,,40549300.0,ns,170
RBTree,,,,,34296700.0,ns,175
RBTree,,,,,39456500.0,ns,180
RBTree,,,,,36906300.0,ns,185
RBTree,,,,,47984700.0,ns,190
RBTree,,,,,37078200.0,ns,195
RBTree,,,,,38572300.0,ns,200
RBTree,,,,,40922900.0,ns,205
RBTree,,,,,52156100.0,ns,210
RBTree,,,,,54740700.0,ns,215
RBTree,,,,,45761200.0,ns,220
RBTree,,,,,44440100.0,ns,225
RBTree,,,,,43276000.0,ns,230
RBTree,,,,,46651000.0,ns,235
RBTree,,,,,53415200.0,ns,240
RBTree,,,,,57288900.0,ns,245
RBTree,,,,,48695600.0,ns,250
RBTree,,,,,55051000.0,ns,255
RBTree,,,,,56912000.0,ns,260
RBTree,,,,,54568700.0,ns,265
RBTree,,,,,54387500.0,ns,270
RBTree,,,,,59318900.0,ns,275
RBTree,,,,,68427900.0,ns,280
RBTree,,,,,59118100.0,ns,285
RBTree,,,,,63079100.0,ns,290
RBTree,,,,,62681900.0,ns,295
RBTree,,,,,57126900.0,ns,300
RBTree,,,,,65937900.0,ns,305
RBTree,,,,,69456600.0,ns,310
RBTree,,,,,63307100.0,ns,315
RBTree,,,,,83428900.0,ns,320
RBTree,,,,,68480500.0,ns,325
RBTree,,,,,77394200.0,ns,330
RBTree,,,,,65801700.0,ns,335
RBTree,,,,,69527300.0,ns,340
RBTree,,,,,91695600.0,ns,345
RBTree,,,,,72408200.0,ns,350
RBTree,,,,,72735100.0,ns,355
RBTree,,,,,77293100.0,ns,360
RBTree,,,,,75975400.0,ns,365
RBTree,,,,,78015100.0,ns,370
RBTree,,,,,79393200.0,ns,375
RBTree,,,,,83795000.0,ns,380
RBTree,,,,,75633200.0,ns,385
RBTree,,,,,83180000.0,ns,390
RBTree,,,,,82372800.0,ns,395
RBTree,,,,,81380400.0,ns,400
RBTree,,,,,85068500.0,ns,405
RBTree,,,,,82018900.0,ns,410
RBTree,,,,,84988100.0,ns,415
RBTree,,,,,90327700.0,ns,420
RBTree,,,,,82369900.0,ns,425
RBTree,,,,,91909200.0,ns,430
RBTree,,,,,83780400.0,ns,435
RBTree,,,,,87609400.0,ns,440
RBTree,,,,,87880300.0,ns,445
RBTree,,,,,100766000.0,ns,450
RBTree,,,,,101601600.0,ns,455
RBTree,,,,,98456200.0,ns,460
RBTree,,,,,98227900.0,ns,465
RBTree,,,,,91765200.0,ns,470
RBTree,,,,,96795000.0,ns,475
RBTree,,,,,93225600.0,ns,480
RBTree,,,,,91264200.0,ns,485
RBTree,,,,,87707200.0,ns,490
RBTree,,,,,93469000.0,ns,495
RBTree,,,,,96805700.0,ns,500
