group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,1817500.0,ns,8
RBTree,,,,,2687000.0,ns,16
RBTree,,,,,3399400.0,ns,24
RBTree,,,,,7169700.0,ns,32
RBTree,,,,,5950400.0,ns,40
RBTree,,,,,6881700.0,ns,48
RBTree,,,,,10346300.0,ns,56
RBTree,,,,,10235500.0,ns,64
RBTree,,,,,8911200.0,ns,72
RBTree,,,,,11968700.0,ns,80
RBTree,,,,,12764200.0,ns,88
RBTree,,,,,12435400.0,ns,96
RBTree,,,,,11886000.0,ns,104
RBTree,,,,,14496400.0,ns,112
RBTree,,,,,14273300.0,ns,120
RBTree,,,,,20855100.0,ns,128
RBTree,,,,,16635900.0,ns,136
RBTree,,,,,19130000.0,ns,144
RBTree,,,,,19098000.0,ns,152
RBTree,,,,,19391000.0,ns,160
RBTree,,,,,21081800.0,ns,168
RBTree,,,,,22577100.0,ns,176
RBTree,,,,,22980200.0,ns,184
RBTree,,,,,23078300.0,ns,192
RBTree,,,,,37827700.0,ns,200
RBTree,,,,,31696100.0,ns,208
RBTree,,,,,34694700.0,ns,216
RBTree,,,,,29971800.0,ns,224
RBTree,,,,,31399400.0,ns,232
RBTree,,,,,30717900.0,ns,240
RBTree,,,,,34157700.0,ns,248
RBTree,,,,,33236800.0,ns,256
RBTree,,,,,35235300.0,ns,264
RBTree,,,,,36608000.0,ns,272
RBTree,,,,,36020100.0,ns,280
RBTree,,,,,36809600.0,ns,288
RBTree,,,,,37550300.0,ns,296
RBTree,,,,,38489000.0,ns,304
RBTree,,,,,40390600.0,ns,312
RBTree,,,,,44195300.0,ns,320
RBTree,,,,,42486000.0,ns,328
RBTree,,,,,50081800.0,ns,336
RBTree,,,,,52427200.0,ns,344
RBTree,,,,,69032100.0,ns,352
RBTree,,,,,64774600.0,ns,360
RBTree,,,,,58740900.0,ns,368
RBTree,,,,,62805600.0,ns,376
RBTree,,,,,57840000.0,ns,384
RBTree,,,,,50889700.0,ns,392
RBTree,,,,,52669200.0,ns,400
RBTree,,,,,55251800.0,ns,408
RBTree,,,,,56295500.0,ns,416
RBTree,,,,,56087000.0,ns,424
RBTree,,,,,82709900.0,ns,432
RBTree,,,,,80135800.0,ns,440
RBTree,,,,,56446600.0,ns,448
RBTree,,,,,78183700.0,ns,456
RBTree,,,,,85340200.0,ns,464
RBTree,,,,,67014000.0,ns,472
RBTree,,,,,62120300.0,ns,480
RBTree,,,,,66452100.0,ns,488
RBTree,,,,,62628100.0,ns,496
RBTree,,,,,64762700.0,ns,504
RBTree,,,,,65703300.0,ns,512
RBTree,,,,,67219600.0,ns,520
RBTree,,,,,97372800.0,ns,528
RBTree,,,,,72980300.0,ns,536
RBTree,,,,,73196400.0,ns,544
RBTree,,,,,69608500.0,ns,552
RBTree,,,,,70123200.0,ns,560
RBTree,,,,,89520300.0,ns,568
RBTree,,,,,75519800.0,ns,576
RBTree,,,,,77973700.0,ns,584
RBTree,,,,,80219200.0,ns,592
RBTree,,,,,79219200.0,ns,600
RBTree,,,,,78578400.0,ns,608
RBTree,,,,,78324600.0,ns,616
RBTree,,,,,83671700.0,ns,624
RBTree,,,,,86157000.0,ns,632
RBTree,,,,,85030200.0,ns,640
RBTree,,,,,87574200.0,ns,648
RBTree,,,,,91284100.0,ns,656
RBTree,,,,,84842000.0,ns,664
RBTree,,,,,85861000.0,ns,672
RBTree,,,,,95451700.0,ns,680
RBTree,,,,,90615800.0,ns,688
RBTree,,,,,92215800.0,ns,696
RBTree,,,,,90148800.0,ns,704
RBTree,,,,,93255500.0,ns,712
RBTree,,,,,103165900.0,ns,720
RBTree,,,,,99872800.0,ns,728
RBTree,,,,,95517800.0,ns,736
RBTree,,,,,96160200.0,ns,744
RBTree,,,,,94252700.0,ns,752
RBTree,,,,,98269300.0,ns,760
RBTree,,,,,103846700.0,ns,768
RBTree,,,,,104995200.0,ns,776
RBTree,,,,,107606200.0,ns,784
RBTree,,,,,121322700.0,ns,792
RBTree,,,,,121479000.0,ns,800
