group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree,,,,,995800.0,ns,5
RBTree,,,,,1710300.0,ns,10
RBTree,,,,,5208700.0,ns,15
RBTree,,,,,3585900.0,ns,20
RBTree,,,,,4188600.0,ns,25
RBTree,,,,,5780200.0,ns,30
RBTree,,,,,8109100.0,ns,35
RBTree,,,,,6763900.0,ns,40
RBTree,,,,,9143400.0,ns,45
RBTree,,,,,8841500.0,ns,50
RBTree,,,,,11978500.0,ns,55
RBTree,,,,,11776700.0,ns,60
RBTree,,,,,13038300.0,ns,65
RBTree,,,,,12294300.0,ns,70
RBTree,,,,,13452400.0,ns,75
RBTree,,,,,15799200.0,ns,80
RBTree,,,,,15632000.0,ns,85
RBTree,,,,,17773400.0,ns,90
RBTree,,,,,16976600.0,ns,95
RBTree,,,,,19781200.0,ns,100
RBTree,,,,,25435300.0,ns,105
RBTree,,,,,23070500.0,ns,110
RBTree,,,,,23681400.0,ns,115
RBTree,,,,,24413600.0,ns,120
RBTree,,,,,24290900.0,ns,125
RBTree,,,,,36668100.0,ns,130
RBTree,,,,,25724700.0,ns,135
RBTree,,,,,31439700.0,ns,140
RBTree,,,,,29643500.0,ns,145
RBTree,,,,,28289000.0,ns,150
RBTree,,,,,34494400.0,ns,155
RBTree,,,,,42245600.0,ns,160
RBTree,,,,,46127800.0,ns,165
RBTree,,,,,44177600.0,ns,170
RBTree,,,,,40019700.0,ns,175
RBTree,,,,,44147900.0,ns,180
RBTree,,,,,38776100.0,ns,185
RBTree,,,,,43213500.0,ns,190
RBTree,,,,,42074300.0,ns,195
RBTree,,,,,41997800.0,ns,200
RBTree,,,,,40437100.0,ns,205
RBTree,,,,,40955300.0,ns,210
RBTree,,,,,56164700.0,ns,215
RBTree,,,,,50338700.0,ns,220
RBTree,,,,,53846900.0,ns,225
RBTree,,,,,47990800.0,ns,230
RBTree,,,,,57318600.0,ns,235
RBTree,,,,,46764500.0,ns,240
RBTree,,,,,54715200.0,ns,245
RBTree,,,,,48061800.0,ns,250
RBTree,,,,,50223300.0,ns,255
RBTree,,,,,49502600.0,ns,260
RBTree,,,,,50678300.0,ns,265
RBTree,,,,,55716000.0,ns,270
RBTree,,,,,53647400.0,ns,275
RBTree,,,,,53476500.0,ns,280
RBTree,,,,,57857600.0,ns,285
RBTree,,,,,54801300.0,ns,290
RBTree,,,,,62363000.0,ns,295
RBTree,,,,,62676600.0,ns,300
RBTree,,,,,58421100.0,ns,305
RBTree,,,,,62607400.0,ns,310
RBTree,,,,,64299700.0,ns,315
RBTree,,,,,60286700.0,ns,320
RBTree,,,,,68102600.0,ns,325
RBTree,,,,,65089800.0,ns,330
RBTree,,,,,65979900.0,ns,335
RBTree,,,,,65283900.0,ns,340
RBTree,,,,,65762000.0,ns,345
RBTree,,,,,82048500.0,ns,350
RBTree,,,,,67436800.0,ns,355
RBTree,,,,,67046600.0,ns,360
RBTree,,,,,69411200.0,ns,365
RBTree,,,,,72250200.0,ns,370
RBTree,,,,,73577800.0,ns,375
RBTree,,,,,75918000.0,ns,380
RBTree,,,,,74449500.0,ns,385
RBTree,,,,,74269400.0,ns,390
RBTree,,,,,84037700.0,ns,395
RBTree,,,,,74758700.0,ns,400
RBTree,,,,,74334700.0,ns,405
RBTree,,,,,132349500.0,ns,410
RBTree,,,,,105451900.0,ns,415
RBTree,,,,,96586200.0,ns,420
RBTree,,,,,82360900.0,ns,425
RBTree,,,,,80267000.0,ns,430
RBTree,,,,,132420900.0,ns,435
RBTree,,,,,88073500.0,ns,440
RBTree,,,,,88916500.0,ns,445
RBTree,,,,,97301800.0,ns,450
RBTree,,,,,84783500.0,ns,455
RBTree,,,,,87177800.0,ns,460
RBTree,,,,,94029500.0,ns,465
RBTree,,,,,86413700.0,ns,470
RBTree,,,,,100166800.0,ns,475
RBTree,,,,,90295400.0,ns,480
RBTree,,,,,102703500.0,ns,485
RBTree,,,,,100882200.0,ns,490
RBTree,,,,,91819900.0,ns,495
RBTree,,,,,109847100.0,ns,500
